CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
204425,0,37,Self Enquiry,1,16,Small Business,Male,3,5,Deluxe,4,Married,4,1,4,0,2,Manager,27525
200198,0,38,Self Enquiry,1,8,Salaried,Male,2,3,Deluxe,3,Divorced,1,0,2,0,1,Manager,21553
201012,1,31,Company Invited,3,6,Salaried,Female,2,5,Basic,3,Single,2,0,3,1,1,Executive,16359
203069,0,46,Self Enquiry,3,16,Small Business,Male,4,4,Standard,5,Married,6,1,2,1,1,Senior Manager,29439
204873,1,41,Self Enquiry,3,14,Small Business,Male,3,4,Basic,4,Single,3,0,5,0,1,Executive,23339
202443,1,35,Self Enquiry,1,13,Salaried,Male,3,3,Basic,4,Single,2,1,3,1,1,Executive,20363
202016,0,29,Self Enquiry,3,16,Salaried,Male,3,3,Basic,3,Single,2,0,4,1,0,Executive,17642
201561,0,51,Self Enquiry,3,27,Small Business,Male,3,3,Deluxe,3,Single,1,1,5,0,2,Manager,20441
200304,0,39,Self Enquiry,1,6,Small Business,Male,2,2,Standard,3,Married,1,0,3,1,0,Senior Manager,24613
200628,0,37,Self Enquiry,3,22,Small Business,Male,3,4,Deluxe,3,Married,5,0,5,1,2,Manager,21334
200710,0,33,Company Invited,3,23,Salaried,Male,2,3,Super Deluxe,3,Single,2,0,3,1,1,AVP,32444
204045,0,51,Company Invited,3,19,Small Business,Female,4,4,Standard,3,Single,6,0,5,1,3,Senior Manager,27886
203738,0,42,Self Enquiry,1,12,Salaried,Male,3,2,Deluxe,4,Single,5,0,5,1,1,Manager,25548
202763,0,33,Self Enquiry,3,15,Large Business,Female,4,5,Deluxe,4,Divorced,3,1,2,1,1,Manager,23906
203267,0,30,Company Invited,1,17,Salaried,Female,4,4,Basic,4,Married,2,0,5,1,1,Executive,21969
202779,0,41,Self Enquiry,3,7,Small Business,Male,3,6,Deluxe,3,Divorced,4,1,3,1,1,Manager,26135
203466,0,38,Company Invited,1,12,Large Business,Male,3,2,Basic,3,Single,2,0,5,1,1,Executive,22178
203418,0,28,Company Invited,3,9,Salaried,Male,3,6,Deluxe,3,Single,5,0,4,1,2,Manager,23749
203668,0,27,Self Enquiry,1,24,Small Business,Male,4,6,Basic,3,Married,3,0,3,0,3,Executive,20983
201788,0,27,Self Enquiry,1,11,Salaried,Female,2,3,Basic,4,Single,2,1,3,0,1,Executive,17478
204430,0,24,Self Enquiry,1,11,Small Business,Male,3,2,Basic,5,Married,4,0,4,0,2,Executive,21497
202076,0,34,Company Invited,1,22,Salaried,Female,3,4,Basic,3,Single,2,0,5,1,2,Executive,17553
204856,1,37,Self Enquiry,3,17,Small Business,Male,3,5,Standard,5,Married,2,0,5,0,1,Senior Manager,25772
202317,0,34,Company Invited,1,7,Small Business,Male,3,4,Deluxe,5,Single,1,0,1,0,0,Manager,20343
200216,1,30,Company Invited,3,32,Small Business,Female,2,4,Deluxe,5,Single,6,0,2,0,1,Manager,21696
201640,0,27,Self Enquiry,1,23,Large Business,Male,2,3,Basic,4,Married,1,1,4,0,0,Executive,18058
203290,0,36,Self Enquiry,1,9,Salaried,Male,3,5,Standard,4,Married,4,0,4,1,1,Senior Manager,28952
201713,0,40,Self Enquiry,1,30,Large Business,Male,3,3,Deluxe,3,Married,2,0,3,1,1,Manager,18319
202908,0,38,Self Enquiry,1,7,Large Business,Female,3,4,Standard,3,Single,6,0,5,1,2,Senior Manager,26169
203770,1,33,Self Enquiry,3,9,Small Business,Male,3,5,Deluxe,4,Single,2,1,1,1,1,Manager,28585
204251,0,30,Self Enquiry,1,16,Salaried,Male,2,5,Basic,3,Single,2,0,1,1,1,Executive,22661
202169,0,52,Self Enquiry,1,6,Salaried,Male,3,3,Super Deluxe,3,Married,3,0,1,1,2,AVP,32099
203681,1,33,Self Enquiry,3,7,Salaried,Male,3,6,Deluxe,4,Single,8,0,3,0,2,Manager,25413
204806,1,20,Company Invited,1,17,Small Business,Female,4,5,Basic,4,Single,3,1,5,0,3,Executive,20537
200008,0,38,Company Invited,1,29,Salaried,Male,2,4,Standard,3,Single,1,0,3,0,0,Senior Manager,24526
202114,0,31,Self Enquiry,1,17,Salaried,Male,2,3,Basic,3,Married,4,1,3,0,0,Executive,17356
203223,1,52,Self Enquiry,1,11,Salaried,Male,3,4,Basic,3,Divorced,2,1,2,1,2,Executive,21139
204056,0,39,Self Enquiry,1,10,Large Business,Female,3,4,Deluxe,3,Single,5,1,5,1,1,Manager,22995
204051,0,40,Self Enquiry,3,11,Salaried,Female,3,5,Deluxe,3,Married,6,0,5,1,2,Manager,24580
203409,0,26,Self Enquiry,1,26,Small Business,Male,4,4,Basic,3,Divorced,5,0,5,1,3,Executive,22347
201223,1,47,Company Invited,3,15,Salaried,Male,2,5,Super Deluxe,3,Married,1,0,5,1,1,AVP,27936
202234,0,28,Self Enquiry,3,16,Small Business,Male,3,3,Basic,4,Married,2,0,5,0,2,Executive,16052
203272,1,19,Company Invited,1,15,Small Business,Male,4,4,Basic,3,Single,3,0,5,0,1,Executive,20582
202031,0,52,Self Enquiry,3,9,Small Business,Male,2,4,Super Deluxe,5,Married,2,0,5,1,0,AVP,31856
202615,1,20,Company Invited,3,7,Large Business,Female,4,6,Basic,5,Single,2,0,3,1,2,Executive,21003
202471,0,43,Self Enquiry,3,15,Small Business,Male,3,4,Deluxe,4,Divorced,2,0,3,0,2,Manager,25503
204807,0,30,Self Enquiry,1,8,Salaried,Female,4,4,Basic,3,Married,3,0,1,1,3,Executive,22438
203896,1,51,Company Invited,3,7,Salaried,Male,4,4,Deluxe,3,Married,2,0,3,1,2,Manager,25406
204122,0,41,Company Invited,1,16,Salaried,Male,4,5,Deluxe,3,Married,2,0,5,0,2,Manager,23554
202598,0,33,Company Invited,3,15,Small Business,Female,3,4,Standard,3,Single,3,0,4,1,2,Senior Manager,27676
202806,0,22,Company Invited,3,16,Small Business,Male,3,4,Basic,3,Single,3,0,4,0,1,Executive,21288
201831,0,40,Self Enquiry,1,16,Salaried,Female,2,1,Basic,3,Married,4,1,3,0,1,Executive,17213
201972,0,53,Self Enquiry,3,6,Small Business,Female,2,3,Deluxe,5,Single,1,0,1,1,1,Manager,23381
203512,1,29,Company Invited,1,9,Small Business,Male,3,5,Basic,5,Single,2,0,4,0,1,Executive,21239
204405,0,44,Company Invited,1,16,Small Business,Male,4,4,Deluxe,3,Married,5,1,3,1,3,Manager,24357
202942,0,23,Self Enquiry,1,13,Small Business,Male,4,4,Basic,3,Divorced,2,0,2,1,1,Executive,21451
203268,0,43,Self Enquiry,1,36,Small Business,Male,3,6,Deluxe,3,Single,6,0,3,1,1,Manager,22950
202180,0,33,Company Invited,3,23,Salaried,Male,2,3,Super Deluxe,3,Single,2,0,3,1,0,AVP,32444
204272,0,37,Company Invited,3,7,Small Business,Female,3,4,Deluxe,3,Single,6,0,1,1,2,Manager,25331
201432,0,37,Self Enquiry,1,16,Salaried,Female,2,1,Standard,3,Married,2,1,1,0,1,Senior Manager,28744
204241,1,40,Self Enquiry,3,10,Small Business,Female,3,4,Deluxe,3,Married,6,1,4,1,2,Manager,23916
204510,0,36,Self Enquiry,1,7,Salaried,Female,3,2,Basic,3,Single,5,0,3,1,2,Executive,21184
203636,0,50,Self Enquiry,1,23,Small Business,Female,4,4,Basic,5,Married,6,1,1,1,2,Executive,21265
201827,1,21,Company Invited,3,6,Large Business,Female,3,4,Basic,4,Single,2,1,5,1,2,Executive,17174
204816,1,28,Self Enquiry,3,9,Small Business,Female,4,6,King,4,Single,4,1,5,1,2,VP,21195
202657,0,52,Self Enquiry,1,15,Salaried,Male,3,5,Standard,4,Divorced,7,0,3,1,2,Senior Manager,31168
202416,1,40,Self Enquiry,1,14,Small Business,Male,3,4,Basic,3,Single,2,1,4,1,2,Executive,24094
202322,0,29,Self Enquiry,1,12,Small Business,Female,2,3,Basic,3,Married,2,0,3,0,1,Executive,18131
200053,0,35,Company Invited,1,17,Small Business,Male,3,4,Standard,5,Divorced,3,1,5,1,1,Senior Manager,24884
204187,0,38,Self Enquiry,3,13,Small Business,Male,4,4,Deluxe,3,Married,6,0,3,1,1,Manager,25180
200110,0,51,Company Invited,1,6,Small Business,Female,1,4,Standard,5,Single,4,0,2,1,0,Senior Manager,22484
204276,0,22,Company Invited,3,16,Small Business,Male,3,4,Basic,3,Single,3,0,4,1,1,Executive,21288
202069,0,36,Self Enquiry,2,19,Salaried,Male,2,3,Basic,4,Married,5,0,3,1,1,Executive,17143
202365,0,31,Self Enquiry,1,17,Small Business,Male,3,3,Deluxe,5,Married,2,1,1,1,1,Manager,21833
203837,0,28,Self Enquiry,3,16,Small Business,Male,3,4,Deluxe,3,Single,3,0,1,0,2,Manager,22783
204230,0,50,Self Enquiry,1,7,Large Business,Female,3,5,Super Deluxe,3,Single,2,1,3,0,1,AVP,32642
204747,0,28,Self Enquiry,1,13,Salaried,Male,3,5,Basic,3,Married,3,0,1,1,2,Executive,21217
201229,0,40,Self Enquiry,1,14,Salaried,Female,3,3,Deluxe,5,Married,3,1,1,0,0,Manager,21516
200252,0,29,Self Enquiry,1,21,Salaried,Male,2,3,Basic,3,Single,2,0,3,0,0,Executive,17340
203728,0,40,Self Enquiry,1,17,Small Business,Male,4,4,Standard,3,Single,2,0,3,1,1,Senior Manager,32142
203365,0,29,Company Invited,1,7,Small Business,Male,3,4,Basic,3,Single,2,1,4,0,1,Executive,20832
204800,0,31,Self Enquiry,1,8,Small Business,Male,4,4,Basic,4,Married,2,1,4,1,3,Executive,22257
200148,0,41,Self Enquiry,1,15,Salaried,Male,3,3,Basic,5,Divorced,3,0,2,0,2,Executive,17238
200980,1,31,Company Invited,3,8,Salaried,Female,2,4,Basic,3,Single,1,0,5,0,1,Executive,17785
202931,0,21,Self Enquiry,1,7,Salaried,Female,3,5,Basic,4,Single,3,0,4,1,1,Executive,21514
203800,0,42,Self Enquiry,3,15,Small Business,Female,3,4,Deluxe,4,Married,7,0,3,1,2,Manager,23071
204573,0,29,Self Enquiry,3,12,Small Business,Male,4,4,Deluxe,3,Single,3,0,3,0,2,Manager,23586
203712,0,54,Company Invited,1,7,Small Business,Female,3,5,Super Deluxe,3,Married,6,1,1,0,1,AVP,31643
200105,0,59,Company Invited,2,8,Salaried,Female,2,4,King,3,Divorced,1,0,2,1,1,VP,33844
200258,0,51,Self Enquiry,1,6,Salaried,Male,3,3,Basic,3,Divorced,2,0,4,1,0,Executive,17723
202883,1,32,Company Invited,1,27,Salaried,Male,4,4,Standard,3,Divorced,5,0,3,1,1,Senior Manager,28502
204622,0,37,Company Invited,3,15,Large Business,Male,3,4,Deluxe,3,Married,6,0,3,1,2,Manager,23757
200401,0,56,Company Invited,3,12,Salaried,Female,2,2,Super Deluxe,5,Divorced,1,0,3,1,0,AVP,28212
201881,0,60,Self Enquiry,1,13,Salaried,Female,2,3,King,5,Married,6,0,5,1,0,VP,34566
202673,1,30,Self Enquiry,1,25,Small Business,Male,3,5,Basic,3,Single,3,1,3,0,2,Executive,21067
203904,0,30,Self Enquiry,1,35,Small Business,Female,4,5,Basic,5,Single,3,0,1,0,2,Executive,22463
203993,0,47,Self Enquiry,2,12,Small Business,Male,4,4,Deluxe,4,Married,2,1,5,1,3,Manager,23699
204356,0,37,Company Invited,3,17,Small Business,Male,3,4,Standard,3,Single,3,0,1,1,2,Senior Manager,28658
204076,0,29,Self Enquiry,1,28,Small Business,Male,3,4,Basic,3,Married,3,0,1,0,1,Executive,21391
203995,0,36,Self Enquiry,1,7,Small Business,Male,2,5,Basic,3,Single,3,0,4,1,1,Executive,21537
201127,0,23,Self Enquiry,1,16,Large Business,Male,2,1,Basic,3,Married,3,0,1,1,0,Executive,17073
202519,0,32,Self Enquiry,1,15,Salaried,Female,4,4,Deluxe,3,Single,3,0,5,0,2,Manager,23102
204496,0,41,Company Invited,1,9,Small Business,Female,3,2,Deluxe,4,Married,3,0,3,0,1,Manager,22922
203117,0,34,Self Enquiry,1,7,Salaried,Male,4,5,Basic,5,Single,5,1,4,0,1,Executive,21477
204507,0,37,Self Enquiry,1,7,Salaried,Female,3,4,Deluxe,4,Married,2,0,5,1,2,Manager,23906
200064,0,36,Self Enquiry,1,14,Large Business,Female,2,3,Standard,3,Married,2,0,4,1,1,Senior Manager,25096
200990,0,33,Company Invited,3,11,Salaried,Male,3,3,Deluxe,3,Divorced,7,0,1,1,2,Manager,24998
204212,0,37,Company Invited,1,25,Salaried,Male,3,2,Basic,3,Married,6,0,5,1,2,Executive,22366
203172,0,55,Self Enquiry,1,24,Large Business,Female,3,4,Standard,3,Divorced,2,0,5,1,1,Senior Manager,29417
203926,0,32,Self Enquiry,1,33,Salaried,Male,3,4,Basic,3,Married,3,0,3,1,2,Executive,21589
200067,0,45,Self Enquiry,1,13,Salaried,Male,2,3,Standard,5,Married,3,0,3,1,1,Senior Manager,24724
203591,0,50,Self Enquiry,1,32,Salaried,Female,3,4,Basic,5,Married,3,0,3,0,1,Executive,21889
203132,1,20,Self Enquiry,3,28,Salaried,Male,3,5,Basic,4,Single,3,1,2,0,2,Executive,20799
201519,0,35,Self Enquiry,1,14,Salaried,Male,2,1,Basic,3,Married,2,0,5,1,1,Executive,17269
201621,0,35,Self Enquiry,3,6,Small Business,Male,3,3,Standard,4,Married,2,0,4,0,0,Senior Manager,22295
202045,0,54,Self Enquiry,1,25,Small Business,Female,3,3,Deluxe,5,Married,1,1,3,0,2,Manager,20485
201210,0,33,Self Enquiry,1,27,Small Business,Male,3,1,Basic,4,Married,2,0,1,1,1,Executive,17028
203982,0,36,Company Invited,1,7,Small Business,Male,4,4,Basic,5,Married,6,0,1,0,2,Executive,20872
202562,0,37,Self Enquiry,1,10,Salaried,Female,3,4,Basic,3,Married,7,0,2,1,1,Executive,21513
203882,1,24,Company Invited,3,16,Small Business,Male,3,4,Basic,5,Married,3,0,5,1,1,Executive,20468
202154,0,40,Self Enquiry,3,16,Small Business,Male,3,4,Standard,4,Married,3,0,4,0,0,Senior Manager,24705
201251,0,30,Self Enquiry,3,21,Small Business,Male,3,4,Standard,5,Married,3,0,1,0,2,Senior Manager,22140
203601,0,36,Company Invited,1,15,Salaried,Female,3,4,Deluxe,3,Married,3,0,5,1,2,Manager,22826
204341,0,61,Company Invited,3,35,Small Business,Female,4,5,Standard,5,Married,6,0,1,1,1,Senior Manager,28944
203780,0,56,Self Enquiry,1,9,Large Business,Male,4,5,Basic,3,Married,2,0,5,0,1,Executive,21340
204207,1,27,Self Enquiry,3,11,Small Business,Male,3,5,Deluxe,3,Single,3,1,1,1,1,Manager,24506
204375,0,36,Self Enquiry,3,7,Small Business,Female,4,4,Deluxe,3,Single,3,0,4,1,1,Manager,23537
200620,0,35,Self Enquiry,1,33,Small Business,Female,2,4,Basic,5,Single,2,0,4,1,1,Executive,17559
203089,1,30,Self Enquiry,3,7,Small Business,Female,3,5,Basic,3,Married,8,1,2,0,2,Executive,21478
203885,0,57,Company Invited,1,7,Salaried,Male,3,4,Deluxe,3,Married,3,0,3,0,1,Manager,24984
204444,0,28,Self Enquiry,1,7,Salaried,Female,4,4,Standard,5,Married,3,0,4,0,3,Senior Manager,26090
201693,0,38,Self Enquiry,3,9,Salaried,Male,3,3,Standard,3,Married,1,0,1,1,1,Senior Manager,25609
202880,1,34,Self Enquiry,1,17,Small Business,Male,3,6,Basic,3,Married,2,0,5,0,1,Executive,22086
203920,0,60,Self Enquiry,1,10,Small Business,Female,3,2,Basic,5,Married,6,1,1,0,2,Executive,21348
202314,0,30,Self Enquiry,3,16,Small Business,Male,3,4,Deluxe,3,Married,2,0,1,0,1,Manager,21578
203044,0,33,Self Enquiry,1,11,Salaried,Female,4,5,Deluxe,3,Divorced,3,0,4,1,1,Manager,24840
202922,0,26,Self Enquiry,3,20,Small Business,Male,3,4,Basic,3,Divorced,3,0,3,1,1,Executive,20774
203607,0,38,Self Enquiry,1,17,Small Business,Female,4,4,Basic,4,Married,3,0,1,1,1,Executive,22614
202439,1,48,Self Enquiry,3,8,Small Business,Male,2,4,Deluxe,4,Single,1,1,1,1,0,Manager,22898
203641,0,21,Self Enquiry,3,16,Salaried,Male,3,4,Basic,5,Single,3,0,1,0,2,Executive,21406
203918,0,28,Self Enquiry,1,9,Small Business,Male,3,4,Basic,4,Married,2,0,5,1,2,Executive,22146
203517,0,29,Self Enquiry,1,36,Salaried,Male,4,6,Deluxe,4,Divorced,3,0,1,1,3,Manager,25227
204881,1,41,Self Enquiry,2,25,Salaried,Male,3,2,Basic,5,Married,2,0,1,1,2,Executive,21065
204837,1,35,Self Enquiry,3,16,Small Business,Male,3,4,Standard,3,Married,6,0,3,1,2,Senior Manager,23168
203798,1,57,Self Enquiry,1,31,Salaried,Male,4,4,Basic,3,Single,3,0,3,0,1,Executive,21265
201134,0,35,Self Enquiry,1,13,Salaried,Male,3,4,Basic,3,Married,2,0,3,1,0,Executive,17690
200214,1,30,Self Enquiry,1,9,Large Business,Female,2,3,Basic,5,Single,6,1,4,1,1,Executive,17657
203844,0,39,Company Invited,2,7,Salaried,Male,3,4,Basic,4,Married,2,1,1,1,2,Executive,21669
200041,0,27,Self Enquiry,1,8,Salaried,Female,2,3,Basic,5,Married,2,0,3,0,1,Executive,17341
200549,0,34,Self Enquiry,1,14,Small Business,Female,3,3,Deluxe,3,Single,4,0,4,1,1,Manager,21142
204173,1,32,Company Invited,1,36,Small Business,Male,4,5,Basic,4,Single,2,0,3,0,3,Executive,22157
200529,0,38,Self Enquiry,1,6,Salaried,Female,2,2,Deluxe,3,Single,1,0,2,1,1,Manager,22625
201585,0,37,Self Enquiry,3,9,Salaried,Male,2,3,Standard,3,Single,3,0,3,0,1,Senior Manager,22428
204791,0,47,Self Enquiry,1,9,Large Business,Male,3,4,Deluxe,3,Married,4,0,1,0,1,Manager,26057
200126,1,58,Self Enquiry,1,29,Small Business,Female,3,3,Standard,3,Divorced,2,0,3,1,0,Senior Manager,25312
200193,0,43,Company Invited,1,13,Small Business,Male,2,2,Basic,3,Married,5,0,4,0,1,Executive,17089
203095,0,48,Self Enquiry,3,9,Small Business,Female,3,4,Deluxe,3,Divorced,2,1,2,1,1,Manager,23215
203509,0,56,Self Enquiry,1,11,Salaried,Male,2,4,Deluxe,3,Divorced,2,1,4,0,1,Manager,22713
200243,0,40,Self Enquiry,1,30,Large Business,Male,3,3,Deluxe,3,Married,2,0,3,1,1,Manager,18319
201723,0,42,Self Enquiry,1,23,Salaried,Female,2,1,Deluxe,5,Single,4,1,1,1,1,Manager,21545
201094,0,40,Self Enquiry,3,15,Small Business,Male,2,3,Deluxe,5,Married,1,0,3,1,1,Manager,20473
204740,0,39,Self Enquiry,2,7,Salaried,Male,3,2,Basic,3,Married,3,0,4,1,1,Executive,21522
202278,0,29,Self Enquiry,1,34,Salaried,Female,3,3,Basic,3,Married,5,0,5,1,0,Executive,17514
204860,1,41,Self Enquiry,1,15,Small Business,Male,4,5,Basic,3,Single,3,1,4,1,3,Executive,27772
200367,0,50,Self Enquiry,1,16,Large Business,Male,3,4,Standard,3,Single,7,0,5,0,2,Senior Manager,25496
204052,0,26,Self Enquiry,3,35,Salaried,Male,3,5,Deluxe,3,Married,4,0,4,1,2,Manager,27317
201692,0,37,Company Invited,1,17,Salaried,Male,2,3,Standard,3,Married,2,1,3,1,1,Senior Manager,27185
203136,0,33,Self Enquiry,1,10,Small Business,Female,4,4,Deluxe,5,Divorced,3,0,2,1,2,Manager,25403
202172,0,30,Self Enquiry,3,14,Salaried,Male,3,3,Standard,3,Married,6,0,3,1,0,Senior Manager,22264
203593,0,28,Self Enquiry,1,26,Salaried,Male,4,5,Basic,5,Married,3,0,1,0,1,Executive,22744
202421,1,41,Company Invited,3,15,Salaried,Male,2,5,Super Deluxe,3,Married,1,0,5,1,1,AVP,21151
200966,1,58,Self Enquiry,1,13,Small Business,Female,2,4,Standard,5,Divorced,1,1,4,1,0,Senior Manager,25008
204545,0,45,Self Enquiry,1,15,Salaried,Male,4,2,Basic,3,Married,4,1,3,1,1,Executive,21496
200657,0,29,Self Enquiry,1,13,Small Business,Female,3,4,Basic,3,Married,7,0,5,1,0,Executive,17532
203011,0,35,Self Enquiry,3,9,Salaried,Male,3,4,Deluxe,3,Single,3,0,5,0,1,Manager,24952
203168,0,25,Self Enquiry,1,24,Small Business,Female,3,5,Deluxe,3,Married,3,0,3,1,2,Manager,23055
204126,0,28,Company Invited,3,27,Salaried,Female,3,4,Deluxe,3,Single,3,0,1,1,2,Manager,28659
202003,0,40,Company Invited,3,11,Salaried,Male,2,4,Standard,5,Married,6,1,5,0,0,Senior Manager,25475
201851,0,30,Self Enquiry,3,8,Large Business,Male,3,3,Basic,4,Married,2,0,3,1,0,Executive,17476
202173,0,38,Company Invited,3,16,Large Business,Female,2,3,Deluxe,3,Single,2,1,3,1,0,Manager,20666
204250,1,30,Self Enquiry,1,15,Salaried,Male,4,6,Basic,5,Married,3,1,3,0,2,Executive,20797
202493,0,36,Self Enquiry,1,15,Salaried,Male,3,3,Basic,3,Divorced,3,0,5,1,2,Executive,20947
201701,0,42,Self Enquiry,1,10,Large Business,Male,2,3,King,3,Married,2,0,1,0,0,VP,34232
202502,0,32,Self Enquiry,1,14,Salaried,Male,3,4,Deluxe,3,Married,5,0,3,1,1,Manager,24593
201710,0,39,Self Enquiry,1,6,Small Business,Female,3,3,Basic,3,Married,1,0,3,1,0,Executive,17232
202500,0,36,Company Invited,3,25,Salaried,Male,4,4,Standard,5,Divorced,3,0,4,1,1,Senior Manager,27747
203058,1,27,Company Invited,1,12,Small Business,Female,3,5,Basic,3,Divorced,3,1,2,0,2,Executive,21044
202358,0,35,Company Invited,3,14,Small Business,Female,3,4,Standard,3,Married,5,1,5,1,2,Senior Manager,25377
203394,0,32,Company Invited,3,9,Salaried,Female,3,4,Standard,3,Married,3,1,1,1,1,Senior Manager,28530
202625,0,35,Self Enquiry,1,34,Small Business,Female,4,4,Basic,4,Single,4,0,3,1,1,Executive,20989
204535,0,37,Self Enquiry,3,7,Salaried,Male,3,4,Deluxe,3,Married,3,1,3,1,2,Manager,24879
204140,0,38,Company Invited,3,11,Small Business,Male,3,4,Basic,3,Married,6,0,4,1,1,Executive,21471
202364,0,54,Self Enquiry,1,9,Salaried,Male,2,3,Super Deluxe,3,Married,4,0,5,0,0,AVP,32779
202903,0,42,Company Invited,1,9,Salaried,Female,4,5,Deluxe,3,Single,4,1,2,0,1,Manager,25489
203705,0,39,Self Enquiry,1,25,Small Business,Male,3,6,Deluxe,3,Married,5,1,5,0,2,Manager,24489
203827,0,37,Company Invited,1,16,Salaried,Male,4,2,Basic,4,Married,3,0,5,1,1,Executive,21488
200933,0,28,Self Enquiry,1,6,Large Business,Male,2,3,Basic,5,Single,3,0,4,0,0,Executive,17080
200414,1,24,Self Enquiry,3,6,Large Business,Female,3,3,Basic,4,Single,2,1,4,1,2,Executive,18202
201671,0,49,Company Invited,1,24,Salaried,Male,3,3,Deluxe,3,Married,2,1,1,0,0,Manager,21804
204767,0,20,Self Enquiry,1,16,Salaried,Male,3,4,Basic,5,Single,3,0,3,0,2,Executive,21230
204106,1,36,Self Enquiry,1,30,Salaried,Male,3,5,Deluxe,3,Married,5,1,4,1,1,Manager,24594
203886,1,30,Self Enquiry,1,7,Small Business,Male,3,4,Basic,3,Married,2,1,3,1,1,Executive,23465
203217,0,37,Self Enquiry,1,19,Small Business,Female,3,5,Standard,3,Single,2,0,2,1,1,Senior Manager,27536
200027,0,42,Self Enquiry,3,14,Small Business,Male,2,3,Deluxe,4,Divorced,1,0,3,0,1,Manager,21825
202028,0,32,Company Invited,1,30,Salaried,Male,3,3,Deluxe,3,Married,2,0,4,1,2,Manager,20309
200142,0,38,Self Enquiry,1,9,Large Business,Female,2,3,Deluxe,3,Single,4,1,5,0,0,Manager,1000
204222,0,59,Company Invited,1,7,Salaried,Male,3,6,Deluxe,3,Married,4,1,1,1,2,Manager,24338
202565,0,34,Company Invited,3,29,Small Business,Male,4,4,Deluxe,4,Divorced,2,0,2,0,2,Manager,24824
201119,0,38,Self Enquiry,3,20,Salaried,Male,3,3,Deluxe,4,Married,1,0,5,1,2,Manager,24924
204144,0,53,Self Enquiry,1,9,Salaried,Female,3,5,Basic,3,Single,2,0,3,1,1,Executive,21890
200445,0,55,Self Enquiry,3,24,Salaried,Female,2,3,Super Deluxe,4,Single,4,0,2,0,1,AVP,31835
204195,0,43,Self Enquiry,3,7,Salaried,Male,2,4,Deluxe,3,Married,3,0,3,1,1,Manager,23585
204438,0,35,Self Enquiry,1,16,Small Business,Female,3,5,Standard,4,Single,3,0,1,1,1,Senior Manager,27299
202718,0,22,Self Enquiry,1,10,Small Business,Male,4,5,Basic,3,Single,3,0,5,1,2,Executive,21908
201461,1,50,Self Enquiry,3,34,Small Business,Male,2,4,Standard,5,Married,5,1,5,0,0,Senior Manager,25854
204113,0,39,Self Enquiry,1,36,Large Business,Male,3,4,Deluxe,3,Married,5,0,1,0,1,Manager,24939
200603,0,45,Self Enquiry,1,8,Salaried,Female,3,4,Basic,3,Single,2,0,3,1,1,Executive,17274
